Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
NVIDIA Teaching Kits: Robotics,https://www.nvidia.com/en-us/training/teaching-kits/,Curriculum,Non-Profit,Educators,request a quote,,Virtual,,,,,"NVIDIA and California Polytechnic University (CalPoly) collaborated to bring educators the Robotics Teaching Kit with “Jet,” containing everything needed to teach a full-term course covering introductory and advanced robotics concepts such as sensors, computer vision, machine learning, robot localization, and control.",Educators,request a quote,,
NVIDIA Teaching Kits: Data Science,https://www.nvidia.com/en-us/training/teaching-kits/,Curriculum,Non-Profit,Educators,request a quote,,Virtual,,,,,"In collaboration with the Georgia Institute of Technology (Georgia Tech) and Prairie View A&M University, this Teaching Kit focuses on GPU-accelerated algorithms and data science using the RAPIDS™ framework. The content has also been developed with cultural awareness, addressing issues such as bias and fairness in data science.",Educators,request a quote,,
Project Lead the Way: Computer Science,https://www.pltw.org/our-programs/pltw-computer-science,Curriculum,Non-Profit,Educators,Request a quote,,Virtual,,,,,"At a time when computer science affects how we work and live, PLTW Computer Science empowers students in grades 9-12 to become creators, instead of merely consumers, of the technology all around them.
The program’s interdisciplinary courses engage students in compelling, real-world challenges. As students work together to design solutions, they learn computational thinking – not just how to code – and become better thinkers and communicators. Students take from the courses in-demand knowledge and skills they will use in high school and for the rest of their lives, on any career path they take.",Grades 9-12 educators,Request a quote,,Multiple Comp Sci pathways and sequences
ISTE,https://www.iste.org/learn/AI-in-education,Curriculum,Non-Profit,Educators,Varies on product,,Virtual,,,,,"Welcome to the International Society for Technology in Education (ISTE), home to a passionate community of global educators who believe in the power of technology to transform teaching and learning, accelerate innovation and solve tough problems in education. ISTE inspires the creation of solutions and connections that improve opportunities for all learners by delivering: practical guidance, evidence-based professional learning, virtual networks, thought-provoking events and the ISTE Standards.",K-12 Educators,Varies on product,,Varies
Computer Science for All in SF,https://www.csinsf.org/clubs.html,Curriculum,Non-Profit,Educators,,,CA,Underrepresented,,,Community,"The San Francisco Unified School District (SFUSD) has made a bold commitment, to: Expand computer science education to all students at all schools, beginning in pre-kindergarten and extending through 12th grade. Picture We aim to accomplish this by incorporating CS into the core curriculum for all students in the lower grades (Pre-K to 8). By beginning in the earliest grades and with all children, we will normalize a discipline that has been long dominated by a selective group of the population. In high school, all students will have expanded opportunities to select among a variety of CS courses that continue to build upon this foundation.",K-12 educators,,,Year Round
AZ Science CS Workshops,https://www.azscience.org/educators/codeorg-regional-partner/,Curriculum,Non-Profit,Educators,,,Virtual,,,,,"The Intro workshop is designed for elementary educators new to teaching computer science who want to explore how to begin teaching the CS Fundamentals curriculum. Join your peers and experienced facilitators to get a hands-on introduction to computer science, pedagogy, overviews of the online curriculum and teacher dashboard, as well as strategies for teaching “unplugged” classroom activities.",9-12 educators,,,3 days
UBTech,https://ubtecheducation.com/ai-foundations-curriculum/,Curriculum,Private,Educators,999.0,,Virtual,,,,,"Our K12 AI Foundations curriculum incorporates unplugged activities and hands-on learning to teach basic artificial intelligence concepts. These units include an introduction to sensors and perception, computational thinking and algorithms, learning and data, models of representation, and natural language processing in AI. The curriculum also emphasizes the importance of learning the impact artificial intelligence has on society in both negative and positive ways.",K-12 Educators,999.0,,1 year
Planet Bravo,https://www.planetbravo.com/schools/,Curriculum,Private,"Elementary, Middle",$12000- $48000,,CA,,,,,PlanetBravo partners with schools throughout California to deliver a formal PK-8th grade technology curriculum while integrating core standards in a computer lab or mobile cart environment.,Grade PK-8,$12000- $48000,,Year Round
Code Monkey Summer Programs,https://www.codemonkey.com/summer-camps/,Curriculum,Private,Middle,$349 and up,,Virtual,,,,,CodeMonkey will provide your students with a unique and exciting opportunity to gain one of the most valuable and essential skills needed for success in the modern world.,K-8,$349 and up,,Year Round
ReadyAI,https://www.readyai.org/curriculum/,Curriculum,Private,"Elementary, Middle, High, Educators","$399 - $3,599",,Virtual,,,,,"Includes customizable AI lessons and a showcase event. Through this curriculum, students will know and be able to implement 6 essential AI concepts, and create projects of how they can make our world better with AI.",K-12 students and educators,"$399 - $3,599",,Not specified
Develop,https://develop.com/courses/academy-level/data-academy/?gclid=CjwKCAiAp4KCBhB6EiwAxRxbpI9-wPeQTyh7GldlHZ58oJ7TbVfjcxaNCzEIZCt7F2ZxJn6WgWZ1-BoChIcQAvD_BwE,Curriculum,Private,Anyone,$40 a month,,Virtual,,,,,"Online courses and hands-on training that address in-demand skills in major growth areas such as Big Data, AI, Machine Learning, and more",The Public,$40 a month,,Multiple Programs
Tools for Teaching AI,https://aaai.org/Conferences/AAAI-19/tools-for-teaching-artificial-intelligence-in-k-12/,Curriculum,Private,Educators,Free,,HI,,,,,"Introduce K-12 teachers to a variety of tools for teaching students about Artificial Intelligence.  Some of these are free browser-based demos such as Google’s QuickDraw and TensorFlow.  Some involve children’s programming environments for AI, such as the Calypso software for the Cozmo robot and the Cognimates AI extensions for Scratch .  And some are “unplugged” activities that can be done with a whiteboard or a smartphone.",K-12 Educators,Free,,3 hours
Amazon Future Engineer,https://www.amazonfutureengineer.com/middle-high-school,Curriculum,Private,Educators,Free,,Virtual,,,,,Support two curriculum providers (Code.org and Edhesive) for middle and high school. Computer science teachers at underserved schools in the US can join this program to receive a growing list of benefits to help students.,Grades 6-12 Educators,Free,,Varies (frequently one year)
